corp_code,year,status,message,total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,stock_code,corp_name,market,debt_ratio,roa,operating_margin,log_assets
00120076,2022,000,정상,7719007333629.0,4682532060717.0,3036475272912.0,18759549404034.0,965543470335.0,779310807894.0,001120,LX인터내셔널,KOSPI,1.5420945800182395,0.10095997765137713,0.05146943828658125,29.674706887970824
00120076,2023,000,정상,7995340730864.0,4920385836841.0,3074954894023.0,14514349869122.0,433109594096.0,193358801940.0,001120,LX인터내셔널,KOSPI,1.6001489473569483,0.024183935175343688,0.02984009604297899,29.709880079300593
00120076,2024,000,정상,8930865616216.0,5611254021107.0,3319611595109.0,16637572685167.0,489185373375.0,269491720840.0,001120,LX인터내셔널,KOSPI,1.6903345046072336,0.0301753192154943,0.029402448459992396,29.820534439626037
00120076,2025,000,정상,9328302981413.0,5792595381529.0,3535707599884.0,16706309561513.0,292193349331.0,158262048335.0,001120,LX인터내셔널,KOSPI,1.6383129028314005,0.016965792025660315,0.01748999970670588,29.86407422586393
01205709,2019,000,정상,25715535189000.0,13830840336000.0,11884694853000.0,26630333352000.0,666593845000.0,115347380000.0,267250,HD현대,KOSPI,1.163752246656021,0.0044855134902788505,0.025031374417622047,30.87811640726629
01205709,2020,000,정상,26558952365000.0,15461098130000.0,11097854235000.0,18910981519000.0,-597108836000.0,-789719525000.0,267250,HD현대,KOSPI,1.3931610383959958,-0.02973458870466256,-0.03157471416277788,30.910387995669986
01205709,2021,000,정상,35815655908000.0,23928156390000.0,11887499518000.0,28158746399000.0,1085411576000.0,186012264000.0,267250,HD현대,KOSPI,2.0128838999125165,0.0051936020515109755,0.03854616113303063,31.20940622960641
01205709,2022,000,정상,65570861076000.0,42307197037000.0,23263664039000.0,60849668073000.0,3387008264000.0,2234955013000.0,267250,HD현대,KOSPI,1.8185955989595952,0.03408457623287228,0.05566190204910701,31.81415252228195
01205709,2023,000,정상,67982820888000.0,44750983788000.0,23231837100000.0,61331302785000.0,2031563587000.0,785832206000.0,267250,HD현대,KOSPI,1.9262783048698289,0.011559276236781038,0.0331244159955602,31.85027615518731
01205709,2024,000,정상,73866670219000.0,47481568074000.0,26385102145000.0,67765626088000.0,2983162778000.0,1930179481000.0,267250,HD현대,KOSPI,1.7995597596349575,0.026130587385046616,0.04402176959342313,31.933282830224723
01205709,2025,000,정상,78685890494000.0,48350799380000.0,30335091114000.0,71259438270000.0,6099636253000.0,3675482625000.0,267250,HD현대,KOSPI,1.5938900331070882,0.046710822002837535,0.08559759101508281,31.996484973118836
00101664,2019,000,정상,237816741516.0,88653237210.0,149163504306.0,191706189111.0,6194072642.0,5285239394.0,214390,경보제약,KOSPI,0.5943359779757734,0.022224000548945442,0.03231023823864947,26.194766220390278
00101664,2020,000,정상,253239176532.0,97182382658.0,156056793874.0,215285095144.0,8661432439.0,9404446291.0,214390,경보제약,KOSPI,0.6227372756130367,0.03713661693182622,0.04023238317174971,26.257600240887466
00101664,2021,000,정상,236979153344.0,91278422862.0,145700730482.0,170659645035.0,-6624844100.0,-7495178995.0,214390,경보제약,KOSPI,0.6264788279374935,-0.031628009844899586,-0.038819043005986174,26.191238013638944
00101664,2022,000,정상,240544942124.0,96840886918.0,143704055206.0,196264902088.0,1392651796.0,610590092.0,214390,경보제약,KOSPI,0.6738911214382811,0.002538361798874337,0.007095776071951834,26.20617277857275
00101664,2023,000,정상,266305016913.0,121923595684.0,144381421229.0,216357481796.0,5544771906.0,2974400463.0,214390,경보제약,KOSPI,0.8444548796248503,0.01116914918644479,0.025627826040368118,26.307908168916665
00101664,2024,000,정상,283886655960.0,137732634119.0,146154021841.0,238556125924.0,10453728086.0,4639325809.0,214390,경보제약,KOSPI,0.9423800480074263,0.01634217639892763,0.043820832709743046,26.37184089671413
00101664,2025,000,정상,319537836305.0,173800165700.0,145737670605.0,264104056811.0,3518577342.0,182293090.0,214390,경보제약,KOSPI,1.1925548485748696,0.0005704898427928285,0.013322693276604944,26.490141527242322
00126308,2019,000,정상,4565711799514.0,3270525561644.0,1295186237870.0,6392058453386.0,422717496667.0,323809854401.0,028050,삼성E&A,KOSPI,2.5251392162895017,0.07092209684270219,0.06613166943789103,29.149595543234177
00126308,2020,000,정상,4755575903078.0,3173840384709.0,1581735518369.0,6749174145123.0,361182672371.0,252135563290.0,028050,삼성E&A,KOSPI,2.006555677514084,0.053018933653610226,0.05351509156597968,29.190338919855552
00126308,2021,000,정상,6058722396874.0,4098204678539.0,1960517718335.0,7486696121177.0,503288807347.0,351071466376.0,028050,삼성E&A,KOSPI,2.0903686001978414,0.0579448014579997,0.06722442038530033,29.43252006818458
00126308,2022,000,정상,7848723222714.0,5271682815759.0,2577040406955.0,10054344625186.0,702942994188.0,595319035026.0,028050,삼성E&A,KOSPI,2.0456345199445116,0.07584915637019309,0.06991435249067722,29.691371987706418
00126308,2023,000,정상,7801398613122.0,4503060317148.0,3298338295974.0,10624917993595.0,993128866188.0,695607943011.0,028050,삼성E&A,KOSPI,1.365251200170856,0.08916451748036348,0.09347167354954514,29.685324142924706
00126308,2024,000,정상,10013337796132.0,6117596009939.0,3895741786193.0,9966551344477.0,971611686017.0,638672451980.0,028050,삼성E&A,KOSPI,1.5703289246788716,0.06378217383485349,0.09748725034717472,29.93493909984189
00126308,2025,000,정상,10039557572475.0,5593370097294.0,4446187475181.0,9028769083650.0,792078846892.0,648307939623.0,028050,삼성E&A,KOSPI,1.258014901197188,0.06457534955528683,0.0877283314650674,29.93755416273462
00500254,2019,000,정상,24739276000000.0,13739728000000.0,10999548000000.0,17786063000000.0,2033142000000.0,668945000000.0,078930,GS,KOSPI,1.249117509192196,0.02703979696091349,0.11431096358986247,30.83941321811545
