stock_code,corp_code,corp_name,induty_code,sector
007700,00126487,F&F 홀딩스,64992,Finance
263600,00571298,덕우전자,2629,IT/Electronics
143240,00857480,사람인,63120,IT/Electronics
950140,01165739,잉글우드랩,204,Chemicals/Materials
082920,00154718,비츠로셀,28201,Machinery/Transportation
075130,00490179,플랜티넷,620,IT/Electronics
290120,01182578,DH오토리드,30399,Machinery/Transportation
023760,00149594,한국캐피탈,64911,Finance
213420,01061558,덕산네오룩스,262,IT/Electronics
319660,01365825,피에스케이,29271,Machinery/Transportation
007340,00116949,DN오토모티브,28202,Machinery/Transportation
060150,00375931,인선이엔티,38230,Energy
017940,00165583,E1,46713,Consumer
039340,00263371,한국경제TV,60221,Services
072950,00359261,빛샘전자,262,IT/Electronics
306040,01222432,에스제이그룹,15129,Consumer
060590,00362292,씨티씨바이오,212,Biotech/Healthcare
234690,01135057,녹십자웰빙,212,Biotech/Healthcare
065370,00374738,위세아이텍,58221,IT/Electronics
336260,01412725,두산퓨얼셀,28111,Machinery/Transportation
241520,01109715,DSC인베스트먼트,64209,Finance
272210,00339391,한화시스템,26299,IT/Electronics
210980,00508344,SK디앤디,68122,Construction
180640,00983040,한진칼,64992,Finance
322000,01199550,HD현대에너지솔루션,2612,IT/Electronics
317400,00367844,자이에스앤디,681,Construction
074600,00468374,원익QnC,2312,Chemicals/Materials
036120,00260745,서울평가정보,63991,IT/Electronics
020120,00140131,키다리스튜디오,631,IT/Electronics
023770,00138367,플레이위드,582,IT/Electronics
086960,00445841,MDS테크,58221,IT/Electronics
036930,00252135,주성엔지니어링,29229,Machinery/Transportation
001440,00113207,대한전선,28302,Machinery/Transportation
067000,00397252,조이시티,5821,IT/Electronics
095910,00585538,에스에너지,2811,Machinery/Transportation
288620,01257872,에스프리즘,281,Machinery/Transportation
263690,00966168,디알젬,27111,IT/Electronics
115610,00694942,이미지스,2611,IT/Electronics
058610,00220686,에스피지,28111,Machinery/Transportation
037230,00198192,한국팩키지,17223,Chemicals/Materials
012200,00102618,계양전기,291,Machinery/Transportation
256840,01179617,한국비엔씨,211,Biotech/Healthcare
095190,00526951,신화프리텍,259,Machinery/Transportation
114810,00625942,한솔아이원스,2927,Machinery/Transportation
302550,01275665,리메드,27199,IT/Electronics
232140,01109539,와이씨,292,Machinery/Transportation
263700,01187148,케어랩스,713,Services
000400,00113562,롯데손해보험,65121,Finance
001060,00149947,JW중외제약,212,Biotech/Healthcare
234080,00225706,JW생명과학,212,Biotech/Healthcare
096760,00632304,JW홀딩스,64992,Finance
067290,00110431,JW신약,212,Biotech/Healthcare
219420,01109955,링크제니시스,58222,IT/Electronics
160980,00659161,싸이맥스,29271,Machinery/Transportation
